,year,name,college,pos,height,weight,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,40_yard_percentile,bench_press_percentile,vert_leap_percentile,broad_jump_percentile,shuttle_percentile,3_cone_percentile,avg_percentile
59,2000,Jerry DeLoach,California,DT,74.9,314,,5.01,19.0,31.5,101.0,4.57,7.4,0.904761905,0.0,0.894736842,0.315789474,0.647058824,0.882352941,0.6074499976666666
60,2000,Mike Derouselle,Houston,DT,74.4,314,,5.29,27.0,27.5,96.0,4.8,7.67,0.047619048,0.684210526,0.0,0.052631579,0.058823529,0.588235294,0.2385866626666667
61,2000,Reuben Droughns,Oregon,RB,71.3,215,,4.68,13.0,30.0,115.0,4.41,7.34,0.269230769,0.052631579,0.045454545,0.208333333,0.105263158,0.052631579,0.12225749383333334
62,2000,Ron Dugans,Florida State,WR,73.4,206,,4.58,,,117.0,,,0.428571429,,,0.2,,,
63,2000,Deon Dyer,North Carolina,FB,70.9,260,,5.03,,28.0,104.0,4.81,7.88,0.0,,0.25,0.0,0.142857143,0.142857143,
64,2000,Mario Edwards,Florida State,CB,72.1,191,,4.46,32.0,32.5,120.0,4.55,7.44,0.814814815,1.0,0.04,0.538461538,0.0,0.043478261,0.406125769
65,2000,John Engelberger,Virginia Tech,DE,76.3,260,,4.74,24.0,34.0,115.0,4.28,6.95,0.9375,0.384615385,0.6,0.666666667,0.857142857,1.0,0.7409874848333334
66,2000,Dwan Epps,Texas Southern,ILB,73.0,242,,4.68,8.0,34.5,,,,1.0,0.0,0.777777778,,,,
67,2000,Kevin Feterik,Brigham Young,QB,71.0,207,18.0,4.94,,31.0,106.0,4.45,7.3,0.647058824,,0.714285714,0.588235294,0.230769231,0.538461538,
68,2000,Aaron Fields,Troy (AL),DE,75.6,243,,4.8,22.0,34.0,115.0,4.56,7.51,0.75,0.230769231,0.6,0.666666667,0.214285714,0.461538462,0.48721001233333333
69,2000,Zeron Flemister,Iowa,TE,76.4,249,,4.74,14.0,37.0,116.0,4.16,6.92,0.75,0.285714286,0.8,0.7,0.75,0.875,0.6934523810000001
70,2000,Erik Flowers,Arizona State,DE,76.3,271,,4.78,24.0,33.0,114.0,4.15,7.21,0.8125,0.384615385,0.533333333,0.533333333,1.0,0.615384615,0.6465277776666666
71,2000,Derrick Foster,Texas A&M-Kingsville,RB,71.4,201,,4.45,19.0,34.5,117.0,4.36,6.84,0.961538462,0.578947368,0.5,0.333333333,0.315789474,0.684210526,0.5623031938333334
72,2000,Larry Foster,Louisiana State,WR,69.9,198,,4.57,,37.0,121.0,4.06,6.88,0.535714286,,0.666666667,0.52,0.888888889,0.842105263,
73,2000,John Frank,Utah,DE,75.8,280,,4.81,32.0,37.0,117.0,4.27,7.07,0.6875,1.0,0.933333333,0.8,0.928571429,0.846153846,0.8659264346666666
74,2000,Todd Franz,Tulsa (OK),FS,73.0,199,,4.55,14.0,,,,,0.909090909,0.375,,,,,
75,2000,Arturo Freeman,South Carolina,FS,72.4,188,,4.58,14.0,35.5,124.0,4.38,6.91,0.636363636,0.375,0.333333333,0.888888889,0.0,0.666666667,0.48337542083333335
76,2000,Byron Frisch,Brigham Young,DE,76.4,281,,4.77,31.0,34.5,114.0,4.41,7.2,0.875,0.923076923,0.8,0.533333333,0.714285714,0.692307692,0.7563339436666666
77,2000,Justin Fuente,Murray State (KY),QB,73.4,225,33.0,5.24,,27.5,100.0,4.42,7.51,0.117647059,,0.357142857,0.352941176,0.307692308,0.230769231,
78,2000,Mondriel Fulcher,Miami (FL),FB,75.4,253,,4.89,18.0,27.0,116.0,4.52,7.46,0.25,0.0,0.125,0.75,0.285714286,0.285714286,0.28273809533333333
79,2000,Trent Gamble,Wyoming,FS,69.3,186,,4.58,21.0,37.0,124.0,3.9,6.6,0.636363636,1.0,0.444444444,0.888888889,1.0,0.888888889,0.8097643096666666
